funcid,dim,milestone,error
19,30,1,1.465339e+08
19,30,2,1.465255e+08
19,30,3,1.465255e+08
19,30,5,1.465255e+08
19,30,10,1.465255e+08
19,30,20,1.465255e+08
19,30,30,1.465255e+08
19,30,40,1.465255e+08
19,30,50,1.465255e+08
19,30,60,1.465255e+08
19,30,70,1.465255e+08
19,30,80,1.465255e+08
19,30,90,1.465255e+08
19,30,100,1.465255e+08
19,30,1,8.289962e+07
19,30,2,8.289962e+07
19,30,3,8.289962e+07
19,30,5,8.289962e+07
19,30,10,8.289961e+07
19,30,20,8.289961e+07
19,30,30,8.289960e+07
19,30,40,8.289960e+07
19,30,50,8.289960e+07
19,30,60,8.289960e+07
19,30,70,8.289960e+07
19,30,80,8.289960e+07
19,30,90,8.289960e+07
19,30,100,8.289960e+07
19,30,1,3.082032e+08
19,30,2,3.082032e+08
19,30,3,3.082032e+08
19,30,5,3.082032e+08
19,30,10,3.082032e+08
19,30,20,3.082032e+08
19,30,30,3.082032e+08
19,30,40,3.082032e+08
19,30,50,3.082032e+08
19,30,60,3.082032e+08
19,30,70,3.082032e+08
19,30,80,3.082032e+08
19,30,90,3.082032e+08
19,30,100,3.082032e+08
19,30,1,4.553880e+08
19,30,2,4.553880e+08
19,30,3,4.553880e+08
19,30,5,4.553880e+08
19,30,10,4.553880e+08
19,30,20,4.553880e+08
19,30,30,4.553880e+08
19,30,40,4.553880e+08
19,30,50,4.553880e+08
19,30,60,4.553880e+08
19,30,70,4.553880e+08
19,30,80,4.553880e+08
19,30,90,4.553880e+08
19,30,100,4.553880e+08
19,30,1,3.421975e+08
19,30,2,3.421975e+08
19,30,3,3.421975e+08
19,30,5,3.421975e+08
19,30,10,3.421975e+08
19,30,20,3.421975e+08
19,30,30,3.421975e+08
19,30,40,3.421975e+08
19,30,50,3.421975e+08
19,30,60,3.421975e+08
19,30,70,3.421975e+08
19,30,80,3.421975e+08
19,30,90,3.421975e+08
19,30,100,3.421975e+08
19,30,1,2.975604e+07
19,30,2,2.973301e+07
19,30,3,2.973295e+07
19,30,5,2.973294e+07
19,30,10,2.973294e+07
19,30,20,2.973235e+07
19,30,30,2.973235e+07
19,30,40,2.973235e+07
19,30,50,2.973235e+07
19,30,60,2.973235e+07
19,30,70,2.973235e+07
19,30,80,2.973235e+07
19,30,90,2.973235e+07
19,30,100,2.973235e+07
19,30,1,4.972787e+07
19,30,2,3.842516e+07
19,30,3,3.842446e+07
19,30,5,3.842359e+07
19,30,10,3.842330e+07
19,30,20,3.842320e+07
19,30,30,3.842320e+07
19,30,40,3.842320e+07
19,30,50,3.842320e+07
19,30,60,3.842320e+07
19,30,70,3.842320e+07
19,30,80,3.842320e+07
19,30,90,3.842320e+07
19,30,100,3.842320e+07
19,30,1,2.229841e+08
19,30,2,2.229841e+08
19,30,3,2.229841e+08
19,30,5,2.229841e+08
19,30,10,2.229841e+08
19,30,20,2.229841e+08
19,30,30,2.229841e+08
19,30,40,2.229841e+08
19,30,50,2.229841e+08
19,30,60,2.229841e+08
19,30,70,2.229841e+08
19,30,80,2.229841e+08
19,30,90,2.229841e+08
19,30,100,2.229841e+08
19,30,1,2.624963e+08
19,30,2,2.624962e+08
19,30,3,2.624962e+08
19,30,5,2.624962e+08
19,30,10,2.624962e+08
19,30,20,2.624962e+08
19,30,30,2.624962e+08
19,30,40,2.624962e+08
19,30,50,2.624962e+08
19,30,60,2.624962e+08
19,30,70,2.624962e+08
19,30,80,2.624962e+08
19,30,90,2.624962e+08
19,30,100,2.624962e+08
19,30,1,9.272333e+07
19,30,2,9.272330e+07
19,30,3,9.272330e+07
19,30,5,9.272330e+07
19,30,10,9.272329e+07
19,30,20,9.272329e+07
19,30,30,9.272329e+07
19,30,40,9.272329e+07
19,30,50,9.272329e+07
19,30,60,9.272329e+07
19,30,70,9.272329e+07
19,30,80,9.272329e+07
19,30,90,9.272329e+07
19,30,100,9.272329e+07
